real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=94,-4.08632,-2.91653,-0.226169,-1.18449,-1.97961,-3.84137,-0.497309,-0.65309,4.90965,2.9528,gen=0_member=94,2.25e-05,2.25e-05,15.3849,7.86245,1.87815,7.86245,1,1,0,0,0,0
gen=0_member=95,-0.808402,-0.17837,-2.42207,-2.67134,-1.56621,-4.4218,-2.90077,-1.77623,1.12359,1.09025,gen=0_member=95,8.43e-06,8.43e-06,16.7452,2.21384,3.60045,2.21384,1,1,0,0,0,0
gen=0_member=96,-3.81256,-4.28279,-4.01679,-2.54926,-4.26527,-3.88876,-2.28163,-0.590759,0.599439,5.94447,gen=0_member=96,2.0499999999999997e-54,2.0499999999999997e-54,25.6878,6.54391,4.83155,6.54391,1,1,0,0,0,0
gen=0_member=99,-0.633913,-2.24882,-1.08884,-3.18149,-3.83612,-0.0630164,-0.21633,-3.33653,1.84865,3.98312,gen=0_member=99,4.29e-06,4.29e-06,14.6051,5.83177,2.17355,5.83177,1,1,0,0,0,0
gen=46_member=4536_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-2.72325,-4.75,0.130993,7.0,gen=46_member=4536_pso,3.28001,3.28001,31.2233,7.13099,6.63666,7.13099,0,0,0,0,0,0
gen=103_member=10248_pso,-4.75,-4.75,-4.75,-0.157051,-4.58824,-4.75,-0.821728,-4.75,0.0,0.130393,gen=103_member=10248_pso,10.0539,10.0539,29.317,0.130393,8.14225,0.130393,0,0,0,0,0,0
gen=238_member=23799_pso,-4.75,-2.83151,-2.69323,0.0,-4.46442,-4.75,-4.75,-4.75,0.004021,4.92402,gen=238_member=23799_pso,3.39679,3.39679,28.9892,4.92804,6.63041,4.92804,0,0,0,0,0,0
gen=266_member=26625_pso,-4.75,-3.36991,-4.75,-1.59765,-4.65262,-4.75,0.0,-4.75,0.0,0.0,gen=266_member=26625_pso,9.36175,9.36175,28.6202,0.0,7.94255,0.0,0,0,0,0,0,0
gen=270_member=26997_pso,-4.75,-3.91644,-4.75,0.0,-4.55529,-4.75,-4.75,-4.75,7.0,0.133346,gen=270_member=26997_pso,4.69601,4.69601,32.2217,7.13335,6.80828,7.13335,0,0,0,0,0,0
gen=272_member=27162_pso,-4.75,-3.56105,-4.75,-1.63599,-4.75,-4.75,0.0,-4.75,0.0,0.0,gen=272_member=27162_pso,9.89381,9.89381,28.947,0.0,8.08025,0.0,0,0,0,0,0,0
gen=281_member=28033_pso,-4.75,-4.75,-4.75,0.0,-4.74059,-4.75,-2.91113,-4.75,0.129907,0.0,gen=281_member=28033_pso,11.8709,11.8709,31.4017,0.129907,8.72985,0.129907,0,0,0,0,0,0
gen=282_member=28168_pso,-4.75,-3.78875,-4.75,-1.47666,-4.74997,-4.75,0.0,-4.75,0.0,0.0,gen=282_member=28168_pso,9.95235,9.95235,29.0154,0.0,8.09785,0.0,0,0,0,0,0,0
gen=286_member=28556_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-2.53802,-4.75,0.0,1.16225,gen=286_member=28556_pso,10.2539,10.2539,31.038,1.16225,8.32095,1.16225,0,0,0,0,0,0
gen=286_member=28615_pso,-4.75,-3.30808,-4.75,0.0,-4.40665,-4.75,-4.75,-4.75,7.0,0.13173,gen=286_member=28615_pso,3.74832,3.74832,31.4647,7.13173,6.5285,7.13173,0,0,0,0,0,0
gen=286_member=28627_pso,-4.75,-4.75,-4.75,-0.260121,-4.75,-4.75,0.0,-4.75,0.1733,0.0966448,gen=286_member=28627_pso,9.15852,9.15852,28.7601,0.269945,7.90535,0.269945,0,0,0,0,0,0
gen=287_member=28653_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,-4.75,4.11903,0.0,gen=287_member=28653_pso,9.01525,9.01525,33.25,4.11903,8.10885,4.11903,0,0,0,0,0,0
gen=290_member=28961_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,0.0,4.03328,gen=290_member=28961_pso,3.82143,3.82143,28.5,4.03328,6.69251,4.03328,0,0,0,0,0,0
gen=291_member=29079_pso,-4.75,-4.72302,-4.4082,0.0,-4.75,-4.75,-1.68748,-4.75,0.0,2.69117,gen=291_member=29079_pso,7.23296,7.23296,29.8187,2.69117,7.54855,2.69117,0,0,0,0,0,0
gen=292_member=29137_pso,-4.75,-4.75,-4.75,-0.329493,-4.75,-4.75,-0.403176,-4.75,7.0,0.864031,gen=292_member=29137_pso,0.36322,0.36322,29.2327,7.86403,5.50554,7.86403,1,1,0,0,0,0
gen=292_member=29154_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,0.0,-4.75,2.64414,1.52067,gen=292_member=29154_pso,3.9086,3.9086,28.5,4.16481,6.5944,4.16481,0,0,0,0,0,0
gen=292_member=29227_pso,-4.75,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,-4.75,0.0,2.93407,gen=292_member=29227_pso,10.2627,10.2627,33.25,2.93407,8.48635,2.93407,0,0,0,0,0,0
gen=293_member=29246_pso,-4.75,-4.75,-4.75,-0.902894,-4.75,-4.75,0.0,-4.75,0.0,3.25188,gen=293_member=29246_pso,5.93441,5.93441,29.4029,3.25188,7.23005,3.25188,0,0,0,0,0,0
gen=293_member=29256_pso,-4.75,-4.49874,-4.75,0.0,-4.64006,-4.75,-0.570417,-4.75,5.66167,0.322763,gen=293_member=29256_pso,1.98058,1.98058,28.7092,5.98443,6.00835,5.98443,0,0,0,0,0,0
